datetime,portfolio_value,cash,positions,return
2025-07-15 08:30:00-04:00,100000.0,100000.0,[],
2025-07-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-07-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-07-16 09:30:00-04:00,149899.19921875,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.4989919921874999
2025-07-17 09:30:00-04:00,149952.001953125,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0003522549463252922
2025-07-18 09:30:00-04:00,150343.9990234375,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.00261415029613965
2025-07-19 09:30:00-04:00,150343.9990234375,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0
2025-07-20 09:30:00-04:00,150343.9990234375,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0
2025-07-21 09:30:00-04:00,150301.6015625,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",-0.00028200301450598264
2025-07-22 09:30:00-04:00,150327.998046875,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0001756234404728385
2025-07-23 09:30:00-04:00,150523.9990234375,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0013038221695826913
2025-07-24 09:30:00-04:00,150767.998046875,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0016209974822654072
2025-07-25 09:30:00-04:00,150807.2021484375,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0002600293302978951
2025-07-26 09:30:00-04:00,150807.2021484375,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0
2025-07-27 09:30:00-04:00,150807.2021484375,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0
2025-07-28 09:30:00-04:00,150998.3984375,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0012678193503934398
2025-07-29 09:30:00-04:00,151067.998046875,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.00046092945418751974
2025-07-30 15:59:00-04:00,150873.5986328125,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",-0.0012868338534689494
2025-07-30 16:00:00-04:00,150873.5986328125,100000.0,"[{'asset': SPY, 'quantity': 80.0}]",0.0
