datetime,portfolio_value,cash,return
2025-07-15 09:30:00-04:00,100000.0,100000.0,
2025-07-16 09:30:00-04:00,99962.19970703125,93724.7998046875,-0.00037800292968748206
2025-07-17 09:30:00-04:00,99968.80004882812,93724.7998046875,6.60283768887382e-05
2025-07-18 09:30:00-04:00,100017.79968261719,93724.7998046875,0.0004901492642217509
2025-07-19 09:30:00-04:00,100017.79968261719,93724.7998046875,0.0
2025-07-21 09:30:00-04:00,100012.5,93724.7998046875,-5.298739458381441e-05
2025-07-22 09:30:00-04:00,100015.79956054688,93724.7998046875,3.299148153357301e-05
2025-07-23 09:30:00-04:00,100040.29968261719,93724.7998046875,0.0002449625177018966
2025-07-24 09:30:00-04:00,100070.79956054688,93724.7998046875,0.0003048759152706193
2025-07-25 09:30:00-04:00,100075.70007324219,93724.7998046875,4.897045608531769e-05
2025-07-26 09:30:00-04:00,100075.70007324219,93724.7998046875,0.0
2025-07-28 09:30:00-04:00,100099.599609375,93724.7998046875,0.00023881457851726573
2025-07-29 09:30:00-04:00,100108.29956054688,93724.7998046875,8.691294676332895e-05
