time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2025-07-15 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2025-07-15 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,627.52001953125,10,0.0
